ctbr_id,Existing_cite
1,https://bolin.su.se/data/sannel-2016
2,https://www.lter.uaf.edu/data/data-detail/id/454
8,"Celis, Gerardo; Schuur, Edward A.G.; Natali, S. M. N. 2018. Eight Mile Lake Research Watershed, Carbon in Permafrost Experimental Heating Research (CiPEHR): Half-hourly soil moisture and temperature data. Bonanza Creek LTER - University of Alaska Fairbanks BNZ:477.; Celis, Gerardo; Natali, Susan M.N.; Schuur, E. A. G. 2018. Eight Mile Lake Research Watershed, Carbon in Permafrost Experimental Heating and Drying Research (DryPEHR): Half-hourly soil moisture and temperature data. Bonanza Creek LTER - University of Alaska Fairbanks BNZ:576."
11,https://www.earth-syst-sci-data.net/11/261/2019/essd-11-261-2019.html and https://www.earth-syst-sci-data.net/10/355/2018/
12,https://doi.pangaea.de/10.1594/PANGAEA.860561 as supplement of https://doi.org/10.5194/bg-13-4049-2016
14,doi:10.1007/s10021-016-0085-9
20,Greenland Ecosystem Monitoring Programme were provided by Asiaq  Greenland Survey Nuuk https://data.g-e-m.dk/
21,"reenland Ecosystem Monitoring Programme were provided by Aarhus University, Denmark (https://data.g-e-m.dk/)"
22,http://www.europe-fluxdata.eu/ (site code: RU-Ch2)
23,http://dx.doi.org/10.6073/pasta/cf45e059c576273ec58ce24769793f28  and http://dx.doi.org/10.6073/pasta/b227fa1d98ed466ea5fc3816ef5c8ba2 and http://dx.doi.org/10.6073/pasta/5394ebed0c558da5882a456d7f4da9f3
24,https://arcticdata.io/catalog/view/doi:10.18739/A23898
25,some of the data shared here: http://g-e-m.dk/
28,"Wolfe, S.A., Smith, S.L., Chartrand, J., Kokelj, S., Palmer, M. and
Stevens, C.W., 2010. Geotechnical Database and Descriptions of Permafrost
Monitoring Sites Established 2006-2010 in the Northern Mackenzie
Corridor, Northwest Territories, Geological Survey of Canada, Open File 6677, "
30,"Sloan, V.L., J.A. Liebig, M.S. Hahn, J.B. Curtis, J.D. Brooks, A. Rogers, C.M. Iversen, R.J. Norby. 2014. Soil temperature, soil moisture and thaw depth, Barrow, Alaska, Ver. 1. Next Generation Ecosystem Experiments Arctic Data Collection, Carbon Dioxide Information Analysis Center, Oak Ridge National Laboratory, Oak Ridge, Tennessee, USA. Data set Oak Ridge, Tennessee, USA. Data set accessed at http://dx.doi.org/10.5440.1121134; Salmon, V.G., C.M. Iversen, H. Vander Stel, A. Breen, S. Wullschleger. 2017. NGEE Arctic Plant Traits: Soil Temperature and Moisture, Kougarok Road Mile Marker 64, Seward Peninsula, Alaska, beginning 2016. Next Generation Ecosystem Experiments Arctic Data Collection, Carbon Dioxide Information Analysis Center, Oak Ridge National Laboratory, Oak Ridge, Tennessee, USA. Dataset accessed on [Date] at http://dx.doi.org/10.5440/1346195."
31,www.permafrostwatch.org
